,Yhat,Y,is_correct,confidence
0,A,A,True,0.5481783151626587
1,A,B,False,0.9651569724082947
2,D,A,False,0.8522225618362427
3,D,C,False,0.7216328978538513
4,C,C,True,0.99176424741745
5,D,D,True,0.9938901662826538
6,D,B,False,0.6542112827301025
7,D,D,True,0.9932969212532043
8,D,B,False,0.6027585864067078
9,D,C,False,0.6129920482635498
10,D,B,False,0.8914090991020203
11,D,D,True,0.9947119951248169
12,B,B,True,0.5301263332366943
13,C,C,True,0.6907306909561157
14,C,C,True,0.9810286164283752
15,B,B,True,0.9882509112358093
16,D,C,False,0.9641439914703369
17,A,A,True,0.9922041893005371
18,D,D,True,0.7940568327903748
19,C,C,True,0.9359695911407471
20,B,B,True,0.9921820163726807
21,B,B,True,0.9950587749481201
22,B,B,True,0.9917489290237427
23,C,C,True,0.8896612524986267
24,D,D,True,0.9985135197639465
25,D,D,True,0.995072066783905
26,B,B,True,0.9664015769958496
27,D,D,True,0.9969013929367065
28,A,A,True,0.9914528131484985
29,B,C,False,0.6859445571899414
30,B,B,True,0.8482831716537476
31,D,D,True,0.9502121806144714
32,C,D,False,0.8270037174224854
33,A,A,True,0.9630102515220642
34,A,A,True,0.9200586676597595
35,B,B,True,0.993911623954773
36,A,A,True,0.9913964867591858
37,B,C,False,0.42419204115867615
38,B,B,True,0.9769565463066101
39,D,D,True,0.9981302618980408
40,A,A,True,0.9971524477005005
41,C,C,True,0.9747207760810852
42,B,B,True,0.5281237363815308
43,D,A,False,0.5772454142570496
44,A,A,True,0.9971067309379578
45,C,C,True,0.9791713356971741
46,D,A,False,0.7007462382316589
47,D,B,False,0.4562728703022003
48,B,B,True,0.9899387359619141
49,A,A,True,0.9640432596206665
50,A,A,True,0.9966793060302734
51,A,A,True,0.967143177986145
52,D,D,True,0.9977179765701294
53,B,B,True,0.9826543927192688
54,D,D,True,0.9930493831634521
55,C,C,True,0.842913031578064
56,B,B,True,0.8005231618881226
57,D,D,True,0.9958716034889221
58,B,B,True,0.9899045825004578
59,D,D,True,0.9463103413581848
60,B,B,True,0.9921242594718933
61,B,D,False,0.8635616898536682
62,B,B,True,0.8018380403518677
63,D,D,True,0.9973133206367493
64,D,D,True,0.9988200068473816
65,A,A,True,0.9381150603294373
66,C,C,True,0.9899340271949768
67,D,D,True,0.9974186420440674
68,C,C,True,0.9748761057853699
69,C,C,True,0.9921762347221375
70,C,C,True,0.5925642251968384
71,D,D,True,0.9978944659233093
72,A,A,True,0.9981766939163208
73,B,B,True,0.9852965474128723
74,C,C,True,0.9636494517326355
75,B,B,True,0.595086932182312
76,C,C,True,0.9517340660095215
77,D,D,True,0.9953339695930481
78,B,B,True,0.9939454197883606
79,B,B,True,0.9864646196365356
80,D,D,True,0.9912793040275574
81,C,C,True,0.9814801812171936
82,D,D,True,0.9979212880134583
83,B,B,True,0.9115349054336548
