Y,Yhat,confidence
0,394,0.5989998
0,0,0.92823374
0,693,0.32973772
0,0,0.99995375
0,0,0.99950874
0,0,0.36985868
0,0,0.9999417
0,0,0.99005073
0,0,0.9870568
0,0,0.98703265
0,133,0.64880425
0,0,0.99944884
0,0,0.9982665
0,0,0.7904445
0,0,0.9937459
0,0,0.9942887
0,0,0.9999292
0,0,0.9995846
0,0,0.9991652
0,0,0.9935648
0,0,0.9782461
0,0,0.99226624
0,0,0.99984443
0,0,0.9723337
0,0,0.9995807
0,0,0.96560997
0,0,0.9998142
0,0,0.6596521
0,0,0.9999522
0,0,0.9414101
0,0,0.9974668
0,0,0.9978041
0,0,0.5078526
0,0,0.9873552
0,0,0.9987239
0,758,0.38853166
0,389,0.33046925
0,0,0.9930524
0,0,0.98337805
0,0,0.9988341
0,0,0.9884554
0,0,0.99997175
0,0,0.99989665
0,0,0.9996972
0,0,0.9964546
0,0,0.99628216
0,0,0.9883669
0,0,0.99948287
0,0,0.9729072
0,0,0.99966156
1,115,0.8854846
1,29,0.5762008
1,1,0.9999689
1,1,0.9998367
1,1,0.14666632
1,1,0.99860954
1,1,0.9930507
1,1,0.9993069
1,1,0.9825325
1,1,0.71834135
1,1,0.99854964
1,29,0.63107324
1,1,0.9999355
1,1,0.9998907
1,1,0.9890154
1,1,0.99996686
1,1,0.9998092
1,871,0.11487925
1,1,0.9980354
1,1,0.95242196
1,1,0.67522407
1,1,0.9999821
1,1,0.9996798
1,33,0.29134148
1,1,0.9999428
1,1,0.99364555
1,1,0.9999081
1,1,0.9992859
1,1,0.9999443
1,1,0.9544061
1,1,0.9825491
1,1,0.99058515
1,1,0.99993443
1,1,0.9965545
1,1,0.99931586
1,1,0.998069
1,1,0.9997452
1,1,0.97482365
1,1,0.75129485
1,1,0.9952101
1,1,0.99998975
1,58,0.32856795
1,1,0.9813161
1,1,0.998882
1,1,0.99997246
1,1,0.9999279
1,1,0.99729353
1,1,0.9861391
1,1,0.99965703
1,1,0.7361937
2,2,0.8450886
2,2,0.9887937
2,2,0.99286336
2,2,0.93229413
2,2,0.69778043
2,4,0.79233587
2,2,0.9093413
2,148,0.6853734
2,2,0.898656
2,2,0.5833685
2,2,0.5560246
2,2,0.99033034
2,721,0.30492827
2,2,0.9565703
2,2,0.7657925
2,2,0.90854746
2,2,0.9534481
2,2,0.56619155
2,2,0.84315616
2,2,0.8181776
2,2,0.9906591
2,2,0.989489
2,2,0.7666401
2,2,0.9286787
2,2,0.99616784
2,2,0.96965706
2,3,0.5418211
2,147,0.31196922
2,2,0.990399
2,2,0.95979357
2,3,0.9487744
2,2,0.9865328
2,2,0.96415216
2,2,0.874731
2,2,0.8886674
2,2,0.9813277
2,2,0.9651634
2,2,0.78738314
2,2,0.9456609
2,2,0.7756238
2,2,0.90520215
2,2,0.9985695
2,2,0.98205847
2,3,0.79336244
2,2,0.9725347
2,4,0.50830287
2,4,0.50536764
2,3,0.4558724
2,2,0.9947143
2,2,0.947543
3,3,0.9533732
3,3,0.7930579
3,2,0.5495811
3,3,0.60564375
3,3,0.9792738
3,3,0.5138415
3,3,0.71534026
3,3,0.83756274
3,983,0.52445364
3,3,0.79971284
3,3,0.99500567
3,4,0.7040815
3,4,0.37857634
3,3,0.89589
3,147,0.43152067
3,2,0.47239196
3,4,0.41795793
3,3,0.8799825
3,3,0.9503825
3,4,0.7311246
3,3,0.88199204
3,3,0.98276377
3,3,0.8876713
3,3,0.71282786
3,3,0.8457387
